MPR,truck,Distr.,Volume,TTCs
0.0,0.02,1.0,600.0,0.4
0.0,0.02,1.0,800.0,1.6
0.0,0.02,1.0,1000.0,5.4
0.0,0.02,1.0,1200.0,27.4
0.0,0.02,1.0,1500.0,694.4
0.0,0.02,1.0,1800.0,4339.4
0.0,0.02,1.0,2000.0,4768.0
0.0,0.02,2.0,600.0,0.2
0.0,0.02,2.0,800.0,2.0
0.0,0.02,2.0,1000.0,5.2
0.0,0.02,2.0,1200.0,15.6
0.0,0.02,2.0,1500.0,473.0
0.0,0.02,2.0,1800.0,3729.6
0.0,0.02,2.0,2000.0,3872.4
0.0,0.02,3.0,600.0,0.4
0.0,0.02,3.0,800.0,0.8
0.0,0.02,3.0,1000.0,2.4
0.0,0.02,3.0,1200.0,10.4
0.0,0.02,3.0,1500.0,379.4
0.0,0.02,3.0,1800.0,3073.4
0.0,0.02,3.0,2000.0,3548.6
0.0,0.02,4.0,600.0,0.2
0.0,0.02,4.0,800.0,0.2
0.0,0.02,4.0,1000.0,3.6
0.0,0.02,4.0,1200.0,7.8
0.0,0.02,4.0,1500.0,353.6
0.0,0.02,4.0,1800.0,3005.2
0.0,0.02,4.0,2000.0,3381.4
0.0,0.02,5.0,600.0,0.2
0.0,0.02,5.0,800.0,0.4
0.0,0.02,5.0,1000.0,1.2
0.0,0.02,5.0,1200.0,6.6
0.0,0.02,5.0,1500.0,175.2
0.0,0.02,5.0,1800.0,2457.4
0.0,0.02,5.0,2000.0,2834.6
0.0,0.02,6.0,600.0,0.2
0.0,0.02,6.0,800.0,0.4
0.0,0.02,6.0,1000.0,1.0
0.0,0.02,6.0,1200.0,2.6
0.0,0.02,6.0,1500.0,59.2
0.0,0.02,6.0,1800.0,1768.2
0.0,0.02,6.0,2000.0,2015.0
0.0,0.02,7.0,600.0,0.4
0.0,0.02,7.0,800.0,0.6
0.0,0.02,7.0,1000.0,1.2
0.0,0.02,7.0,1200.0,3.2
0.0,0.02,7.0,1500.0,55.4
0.0,0.02,7.0,1800.0,1841.2
0.0,0.02,7.0,2000.0,2157.6
0.0,0.02,8.0,600.0,0.4
0.0,0.02,8.0,800.0,0.4
0.0,0.02,8.0,1000.0,0.8
0.0,0.02,8.0,1200.0,3.6
0.0,0.02,8.0,1500.0,40.0
0.0,0.02,8.0,1800.0,1159.0
0.0,0.02,8.0,2000.0,1317.4
