MPR,truck,Distr.,Volume,TTCs
0.0,0.02,1.0,600.0,0.2
0.0,0.02,1.0,800.0,0.8
0.0,0.02,1.0,1000.0,2.8
0.0,0.02,1.0,1200.0,9.0
0.0,0.02,1.0,1500.0,441.2
0.0,0.02,1.0,1800.0,3990.6
0.0,0.02,1.0,2000.0,4426.0
0.0,0.02,2.0,600.0,0.2
0.0,0.02,2.0,800.0,0.0
0.0,0.02,2.0,1000.0,2.0
0.0,0.02,2.0,1200.0,8.2
0.0,0.02,2.0,1500.0,311.4
0.0,0.02,2.0,1800.0,3412.8
0.0,0.02,2.0,2000.0,3754.4
0.0,0.02,3.0,600.0,0.0
0.0,0.02,3.0,800.0,0.0
0.0,0.02,3.0,1000.0,1.4
0.0,0.02,3.0,1200.0,8.6
0.0,0.02,3.0,1500.0,351.2
0.0,0.02,3.0,1800.0,3126.8
0.0,0.02,3.0,2000.0,3377.2
0.0,0.02,4.0,600.0,0.0
0.0,0.02,4.0,800.0,0.0
0.0,0.02,4.0,1000.0,1.4
0.0,0.02,4.0,1200.0,4.6
0.0,0.02,4.0,1500.0,252.8
0.0,0.02,4.0,1800.0,3004.6
0.0,0.02,4.0,2000.0,3265.8
0.0,0.02,5.0,600.0,0.0
0.0,0.02,5.0,800.0,1.0
0.0,0.02,5.0,1000.0,2.0
0.0,0.02,5.0,1200.0,7.4
0.0,0.02,5.0,1500.0,210.0
0.0,0.02,5.0,1800.0,2583.8
0.0,0.02,5.0,2000.0,2748.8
0.0,0.02,6.0,600.0,0.0
0.0,0.02,6.0,800.0,0.0
0.0,0.02,6.0,1000.0,0.8
0.0,0.02,6.0,1200.0,2.8
0.0,0.02,6.0,1500.0,136.6
0.0,0.02,6.0,1800.0,2041.2
0.0,0.02,6.0,2000.0,2132.4
0.0,0.02,7.0,600.0,0.0
0.0,0.02,7.0,800.0,0.0
0.0,0.02,7.0,1000.0,0.4
0.0,0.02,7.0,1200.0,3.4
0.0,0.02,7.0,1500.0,121.2
0.0,0.02,7.0,1800.0,2042.6
0.0,0.02,7.0,2000.0,2095.2
0.0,0.02,8.0,600.0,0.2
0.0,0.02,8.0,800.0,0.0
0.0,0.02,8.0,1000.0,0.6
0.0,0.02,8.0,1200.0,1.2
0.0,0.02,8.0,1500.0,102.8
0.0,0.02,8.0,1800.0,1211.4
0.0,0.02,8.0,2000.0,1200.0
