link_behav,MPR(0),MPR(1),Car(0),Car(1),dist_distr,volume,num_seed,VehsDC(1),SpeedDC(1),AccelerationDC(1),QueueDelayDC(1),VehsDC(2),SpeedDC(2),AccelerationDC(2),QueueDelayDC(2),VehsDelay(1),VehDelayDelay(1),,,MPR,truck,Distr.,Volume,TTCs,,,
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,1,600,47,12.4,36.64169655,-1.531840107,0,542.2,50.71490486,-1.24834203,0,555.2,0.560937602,,,0,0.02,1,600,0,,0,-12.4
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,1,800,47,23.6,36.68527166,-0.899572276,0,709.4,49.75015987,-1.00541204,0,733.2,0.65471704,,,0,0.02,1,800,0,,0,-23.6
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,1,1000,47,39.6,36.44532749,-1.985287344,0,878.6,48.47908086,-0.87647671,0.001754224,918.6,0.864150761,,,0,0.02,1,1000,0.4,,0,-39.2
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,1,1200,47,72.4,35.03038718,-3.615899688,0,1040,46.04956717,-0.836355968,0.002468253,1113.8,1.452319864,,,0,0.02,1,1200,0.6,,0,-71.8
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,1,1500,47,349.2,19.89486792,-2.94838582,0.530167761,1027,27.35042512,-0.395168899,7.268662936,1372.6,23.8386833,,,0,0.02,1,1500,70.4,,0,-278.8
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,1,1800,47,445.6,16.44888467,-1.023051798,47.28820207,983.2,12.98225561,0.650344628,104.3139837,1430.2,180.4650922,,,0,0.02,1,1800,932.6,,0,487
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,1,2000,47,457.2,16.01487571,-0.952793664,57.99807159,972.8,12.68579068,0.658011101,117.7627654,1428.8,201.8534076,,,0,0.02,1,2000,1084.6,,0,627.4
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,2,600,47,10.2,37.34227118,-0.183967082,0,544.4,48.95121732,-0.166903909,0,555,0.433925596,,,0,0.02,2,600,0,,0,-10.2
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,2,800,47,22.2,37.09113096,-0.389324009,0,710.6,48.23995166,-0.139204267,0,733.4,0.568666997,,,0,0.02,2,800,0,,0,-22.2
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,2,1000,47,39.4,35.89939876,-2.233854583,0,878.8,46.68631761,-0.144441118,0,918.8,0.969926784,,,0,0.02,2,1000,0.4,,0,-39
