Summary Group , Total, unclassified,crossing,rear end,lane change
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_003.trj,2,0,0,2,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_007.trj,4,0,0,4,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_008.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_009.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_010.trj,2,0,0,2,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_011.trj,6,0,0,5,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_012.trj,5,0,0,5,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_013.trj,5,0,0,5,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_014.trj,6,0,0,6,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_015.trj,5,0,0,5,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_016.trj,17,0,0,14,3
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_017.trj,60,0,0,58,2
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_018.trj,25,0,0,24,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_019.trj,12,0,0,11,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_020.trj,23,0,0,23,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_021.trj,326,0,0,289,37
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_022.trj,1057,0,0,969,88
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_023.trj,812,0,0,728,84
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_024.trj,291,0,0,254,37
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_025.trj,986,0,0,874,112
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_026.trj,4167,0,0,3914,253
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_027.trj,4070,0,0,3849,221
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_028.trj,4410,0,1,4119,290
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_029.trj,4579,0,0,4314,265
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_030.trj,4471,0,0,4196,275
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_031.trj,4757,0,1,4503,253
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_032.trj,4783,0,0,4475,308
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_033.trj,4522,0,0,4250,272
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_034.trj,4839,0,0,4573,266
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_035.trj,4939,0,0,4647,292
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_038.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_042.trj,5,0,0,5,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_043.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_044.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_045.trj,3,0,0,3,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_046.trj,4,0,0,4,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_047.trj,3,0,0,3,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_048.trj,6,0,0,6,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_049.trj,2,0,0,2,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_050.trj,11,0,0,10,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_051.trj,15,0,0,14,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_052.trj,30,0,0,28,2
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_053.trj,10,0,0,10,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_054.trj,9,0,0,9,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_055.trj,14,0,0,13,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_056.trj,317,0,0,272,45
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_057.trj,477,0,0,410,67
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_058.trj,515,0,1,437,77
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_059.trj,212,0,0,187,25
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_060.trj,844,0,1,717,126
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_061.trj,3971,0,0,3705,266
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_062.trj,3774,0,0,3509,265
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_063.trj,3775,0,0,3488,287
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_064.trj,3614,0,0,3351,263
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_065.trj,3514,0,0,3250,264
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_066.trj,3801,0,0,3513,288
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_067.trj,3546,0,0,3256,290
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_068.trj,4061,0,0,3789,272
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_069.trj,4039,0,0,3753,286
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_070.trj,3915,0,0,3631,284
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_073.trj,2,0,0,2,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_077.trj,2,0,0,2,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_080.trj,2,0,0,2,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_082.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_083.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_084.trj,6,0,0,6,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_085.trj,4,0,0,4,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_086.trj,9,0,0,9,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_087.trj,20,0,0,19,1
