link_behav,MPR(0),MPR(1),Car(0),Car(1),dist_distr,volume,num_seed,VehsDC(1),SpeedDC(1),AccelerationDC(1),QueueDelayDC(1),VehsDC(2),SpeedDC(2),AccelerationDC(2),QueueDelayDC(2),VehsDelay(1),VehDelayDelay(1)
7 : AV-WZ,0,0.01,0.98,0.02,1,600,47,4.4,37.15096566377705,1.4639789588355459,0.0,549.4,49.112288037063735,0.22390643537262722,0.0,554.0,0.7693118503890319
7 : AV-WZ,0,0.01,0.98,0.02,1,800,47,4.8,36.53563506117449,0.08167777426291023,0.0,729.8,48.52047802650774,0.43513119637960207,0.0,734.8,1.2669865170434584
7 : AV-WZ,0,0.01,0.98,0.02,1,1000,47,7.0,36.84971751228788,-0.04434313495125797,0.0,911.0,47.58497636215836,0.7183053545978719,0.0,917.2,2.0952847034044124
7 : AV-WZ,0,0.01,0.98,0.02,1,1200,47,11.0,36.75918840608982,-2.2646592599126643,0.0,1101.2,46.21558085929481,0.9663292348530884,0.0,1112.0,4.023331255686449
7 : AV-WZ,0,0.01,0.98,0.02,1,1500,47,38.2,34.030131464891916,-1.8250629793983961,0.0,1347.4,42.77357784975744,1.4994217295517802,0.8094680172907314,1385.8,20.080212152758754
7 : AV-WZ,0,0.01,0.98,0.02,1,1800,47,107.0,31.88226152523879,-2.217590465847393,39.56601835102198,1396.6,36.143753336542844,1.7867527192472017,71.66145266657864,1503.2,184.18529749418502
7 : AV-WZ,0,0.01,0.98,0.02,1,2000,47,105.0,30.502552873971048,-2.761643853732612,109.20005731430965,1378.2,35.48573818663992,1.8202856651346386,153.3323608763602,1483.8,304.775571425145
7 : AV-WZ,0,0.01,0.98,0.02,2,600,47,3.6,36.33202931159104,0.30748704604289573,0.0,550.2,49.365487255559415,0.23666312794442343,0.0,554.0,0.86280362932407
7 : AV-WZ,0,0.01,0.98,0.02,2,800,47,3.8,36.72410576774957,-0.2505077875246302,0.0,730.8,48.99213358337959,0.393207244195978,0.0,734.8,1.4465323332437858
7 : AV-WZ,0,0.01,0.98,0.02,2,1000,47,4.8,36.23810809199421,-0.008122606820873558,0.0,913.4,48.3578483614702,0.661290566485753,0.0,917.4,2.43872336692954
7 : AV-WZ,0,0.01,0.98,0.02,2,1200,47,6.0,35.489476100552245,-2.9753874402120957,0.0,1106.2,47.29654333357401,0.8894203725642239,0.0,1111.6,5.039560037032869
7 : AV-WZ,0,0.01,0.98,0.02,2,1500,47,26.4,35.99279242896993,-1.54909924033024,0.0,1358.0,44.33159643111593,1.3560915880805318,0.8164656451465095,1384.8,24.42398656360998
