Summary Group , Total, unclassified,crossing,rear end,lane change
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_013.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_016.trj,2,0,0,1,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_017.trj,3,0,0,3,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_020.trj,4,0,0,4,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_021.trj,39,0,0,37,2
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_022.trj,246,0,0,233,13
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_023.trj,166,0,0,150,16
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_024.trj,33,0,0,30,3
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_025.trj,235,0,0,218,17
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_026.trj,977,0,0,911,66
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_027.trj,966,0,0,906,60
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_028.trj,1049,0,1,960,88
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_029.trj,1122,0,0,1042,80
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_030.trj,1066,0,0,979,87
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_031.trj,1220,0,0,1141,79
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_032.trj,1326,0,0,1220,106
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_033.trj,1156,0,0,1058,98
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_034.trj,1210,0,0,1142,68
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_035.trj,1319,0,0,1225,94
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_043.trj,1,0,0,0,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_048.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_050.trj,3,0,0,3,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_051.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_052.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_055.trj,2,0,0,2,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_056.trj,34,0,0,32,2
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_057.trj,85,0,0,76,9
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_058.trj,102,0,0,88,14
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_059.trj,27,0,0,26,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_060.trj,182,0,0,158,24
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_061.trj,917,0,0,842,75
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_062.trj,907,0,0,823,84
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_063.trj,1031,0,0,952,79
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_064.trj,903,0,0,818,85
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_065.trj,888,0,0,806,82
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_066.trj,877,0,1,773,103
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_067.trj,846,0,0,761,85
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_068.trj,979,0,0,902,77
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_069.trj,1028,0,0,937,91
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_070.trj,967,0,0,876,91
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_084.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_085.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_089.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_090.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_091.trj,14,0,0,14,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_092.trj,108,0,0,91,17
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_093.trj,108,0,0,100,8
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_094.trj,13,0,0,12,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_095.trj,58,0,0,53,5
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_096.trj,677,0,0,619,58
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_097.trj,724,0,0,644,80
