link_behav,MPR(0),MPR(1),Car(0),Car(1),dist_distr,volume,num_seed,VehsDC(1),SpeedDC(1),AccelerationDC(1),QueueDelayDC(1),VehsDC(2),SpeedDC(2),AccelerationDC(2),QueueDelayDC(2),VehsDelay(1),VehDelayDelay(1)
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,1,600,47,19.0,36.98716565593888,-2.659080773661556,0.0,535.6,50.094507455940295,-1.0427489866789963,0.0,555.2,0.6195977581180645
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,1,800,47,40.6,36.18863581826641,-2.7762857838654287,0.0,692.2,48.887836911043074,-0.8819689813824851,0.0,733.0,0.8458002656676697
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,1,1000,47,72.6,34.790857495431155,-3.9995401736344123,0.0,845.6,46.711921198775464,-0.8144088402810631,0.0008439974155472199,918.6,1.423738427905786
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,1,1200,47,152.4,31.357108133172297,-5.385892951130155,0.0,960.0,41.59086976709728,-1.1190560935733784,0.015176849153107574,1113.8,3.2015171049770004
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,1,1500,47,556.8,14.11963344024689,-1.9649398719380948,3.9663876207647966,803.0,15.648996664263112,-0.4912431254062518,19.646317383027444,1355.8,46.3526847184012
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,1,1800,47,641.0,10.662156957837563,-0.4811589076312643,65.98539985509967,740.2,8.147167258420108,0.11272403282522078,140.68175706258745,1381.2,209.96706237652666
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,1,2000,47,652.8,9.713973532572084,-0.3532485705841114,80.1832472859164,722.4,8.089204161554633,0.20991298747720633,158.57440540338013,1375.2,231.9235735361677
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,2,600,47,14.8,37.54224719611405,-1.4797217988633604,0.0,539.8,48.8978322289307,-0.20191076292539453,0.0,555.0,0.47271093228120886
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,2,800,47,32.6,36.40515757586154,-2.197582325021776,0.0,700.2,47.94814993467672,-0.18606435217539125,0.0,733.2,0.7159811224462361
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,2,1000,47,55.6,35.94427169335903,-3.6422655916781714,0.0,862.6,46.16461575564864,-0.24951425330122606,0.0,918.6,1.2031879441772542
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,2,1200,47,125.0,32.17239133456011,-4.678281112917411,0.0,987.6,42.022447799812234,-0.45811220365857164,0.010298191815114209,1113.8,2.8637293022114574
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,2,1500,47,469.0,17.255349424273327,-2.770495930518504,2.3853438771443662,899.4,19.25643693087233,-0.18901315854838785,13.097958473101235,1365.4,36.749596863532595
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,2,1800,47,595.8,12.694034019358256,-0.6831843538519953,47.93088844525966,811.6,9.730908146295095,0.21592194388808034,114.68578070343722,1407.8,190.54362290437416
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,2,2000,47,602.8,12.123456794016594,-0.6982824845281798,59.64913909288968,802.0,9.781233080902986,0.21038050059833346,132.64526425358423,1405.6,210.74442310752707
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,3,600,47,13.4,36.833677557899726,-1.4660271307411257,0.0,541.2,48.84265004930745,-0.12783177045929855,0.0,555.0,0.5118898027966662
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,3,800,47,27.8,37.30427255367973,-1.3534999090973954,0.0,704.8,47.9673983914176,-0.09179035455081436,0.0,733.0,0.7195732357853826
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,3,1000,47,49.0,36.34199207764664,-2.6200953964797806,0.0,869.2,46.264942042365085,-0.17011046201248683,0.0,918.6,1.169449958808861
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,3,1200,47,102.4,32.993229465338835,-4.67013610029373,0.0,1010.2,42.02856292137945,-0.2465680313366588,0.0016482418672711275,1113.6,2.8133534370831494
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,3,1500,47,402.6,19.449767182397956,-3.0919205972683472,1.3060854184242474,970.4,22.666732401092073,-0.2613593474261872,8.274011157698405,1368.2,28.585248744050382
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,3,1800,47,561.4,13.942738569619141,-0.8718934874834632,40.930890256079415,862.6,10.982960650317702,0.259322843966762,101.84704708809872,1423.0,179.55273403414034
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,3,2000,47,547.4,14.120613631474114,-0.8917903435210395,46.829523758494744,881.2,11.259529003512263,0.2971557099564227,111.76227502018853,1427.4,196.10931764546012
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,4,600,47,12.4,36.739393869621296,-1.7946017924648074,0.0,542.2,48.78457823828064,-0.13637280530897417,0.0,555.0,0.5260953496537013
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,4,800,47,29.0,37.1215842521108,-1.9698192880731664,0.0,703.8,47.92587535398422,-0.06533948521344332,0.0,733.2,0.7311985728907446
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,4,1000,47,51.0,35.4981000650508,-3.6786017747853137,0.0,867.2,45.724925577814275,-0.18867981364997438,0.0,918.4,1.4286359128079733
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,4,1200,47,92.2,33.16927734494035,-4.473275777588581,0.0,1020.4,42.269317158463664,-0.2338176105150483,0.000249759846301633,1113.8,2.622751847261005
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,4,1500,47,364.6,20.664682895622178,-3.5520963459784385,0.3559244573715308,1013.0,24.60612864137731,-0.0435848628185996,5.007803790893794,1375.4,22.517809802994087
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,4,1800,47,534.8,14.477506980013368,-1.0365248721793257,36.9555120757551,895.4,11.829215718401793,0.349117984179698,97.66448404797072,1432.4,178.0224093768155
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,4,2000,47,529.0,14.724236703355874,-0.9954692935470474,45.35130897730416,901.4,11.990570230675988,0.37998822053911757,106.69311810668032,1432.4,191.17014389377945
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,5,600,47,9.4,36.97431219360881,-2.4171576218526942,0.0,545.2,48.4528594317997,0.18168341784014896,0.0,555.0,0.5305945764922242
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,5,800,47,19.4,37.44703860373683,-1.7109015077928453,0.0,713.2,47.49774586561492,0.17041237900577622,0.0,732.8,0.7959753982802438
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,5,1000,47,33.6,35.1144923492874,-3.638817487555566,0.0,884.6,45.663162492752846,0.15997893674835112,0.0,918.6,1.4470243834307976
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,5,1200,47,60.4,34.69946997346184,-3.4031997328207124,0.0,1052.4,42.56400239379209,0.2513189311551511,0.0007266121707538602,1113.6,2.489893370129498
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,5,1500,47,275.8,23.230867644740044,-3.639124772938479,0.17825076191118389,1103.8,27.944038690709977,0.34851529281128524,4.426226702643129,1378.6,20.272765704486325
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,5,1800,47,411.6,19.089706515397836,-2.04728302378932,18.73299645442267,1066.0,16.396399361721503,0.6721602708062935,66.41610901927262,1478.4,145.61954602620625
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,5,2000,47,406.6,19.137099504322986,-1.8590518280983452,25.609147394224017,1067.4,16.630991292147655,0.7403711380415563,82.11370306425258,1476.6,166.89223850079583
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,6,600,47,9.0,35.75020192284226,-1.4998721236645294,0.0,545.6,48.6703543851888,0.21689626845601823,0.0,555.2,0.6443723037093674
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,6,800,47,13.8,37.23353282301393,-1.078214931129003,0.0,718.8,47.90870541564084,0.3011049898846848,0.0,732.8,0.9362664217210854
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,6,1000,47,28.2,35.548852411716794,-2.8432829738277308,0.0,890.0,45.99048255637946,0.292230140816335,0.0,918.6,1.6224574913167031
