link_behav,MPR(0),MPR(1),Car(0),Car(1),dist_distr,volume,num_seed,VehsDC(1),SpeedDC(1),AccelerationDC(1),QueueDelayDC(1),VehsDC(2),SpeedDC(2),AccelerationDC(2),QueueDelayDC(2),VehsDelay(1),VehDelayDelay(1)
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,1,600,47,16.0,36.43532244075551,-2.504169772734196,0.0,538.6,50.33163155372126,-1.1455457000466658,0.0,555.2,0.5884415904998312
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,1,800,47,32.6,36.51190479318367,-2.148284787773712,0.0,700.2,49.307463573568555,-0.9471689293817815,0.0,733.0,0.7183417298753516
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,1,1000,47,58.2,35.740506097396654,-3.4190672158624538,0.0,860.0,47.45732735475533,-0.8627265448979584,0.0,918.4,1.1618981050722161
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,1,1200,47,116.6,32.225409151474345,-4.507723721813988,0.0,995.8,43.498935420826356,-0.9139724790389364,0.024167735228661634,1113.8,2.6581459247925765
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,1,1500,47,470.8,16.596619930274688,-2.408463368706486,2.048261266320456,897.4,21.60961459416901,-0.4336095301166031,13.13318279511881,1363.6,35.444909242056404
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,1,1800,47,605.4,12.384235277782002,-0.62626953980225,57.8709253888746,790.8,9.223283446360877,0.2227145885074815,127.68666052035842,1396.2,198.32499338081556
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,1,2000,47,625.4,11.185018313980873,-0.4501963888661571,72.25874089183945,758.6,8.587947524364191,0.15583328364007148,150.24135168653464,1383.2,224.94961790364695
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,2,600,47,13.8,38.18968943221414,-0.410602123492292,0.0,540.8,48.97085844087121,-0.18188189465862456,0.0,555.0,0.4356630955568364
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,2,800,47,28.0,36.45104495548601,-1.6682338157665657,0.0,704.8,48.07244980728308,-0.17228009723180288,0.0,733.2,0.64655776697603
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,2,1000,47,49.2,36.03445088553243,-2.908373314718444,0.0,869.0,46.266853902892166,-0.17478112913734684,0.0,918.6,1.164289073055363
