link_behav,MPR(0),MPR(1),Car(0),Car(1),dist_distr,volume,num_seed,VehsDC(1),SpeedDC(1),AccelerationDC(1),QueueDelayDC(1),VehsDC(2),SpeedDC(2),AccelerationDC(2),QueueDelayDC(2),VehsDelay(1),VehDelayDelay(1),,MPR,truck,Distr.,Volume,TTCs,,,
7 : AV-WZ,0,0.01,0.98,0.02,1,600,47,15.8,36.53695159,-2.353281131,0,538.8,50.39118401,-1.127865103,0,555.2,0.565600563,,0,0.02,1,600,0,,0,-15.8
7 : AV-WZ,0,0.01,0.98,0.02,1,800,47,32.2,36.66154333,-2.012381835,0,700.6,49.40001651,-0.950820208,0,733,0.687205307,,0,0.02,1,800,0,,0,-32.2
7 : AV-WZ,0,0.01,0.98,0.02,1,1000,47,55.6,36.13605297,-3.055924365,0,862.6,47.72096126,-0.859198641,0,918.6,1.052074914,,0,0.02,1,1000,0.2,,0,-55.4
7 : AV-WZ,0,0.01,0.98,0.02,1,1200,47,110.2,32.85799512,-4.455213509,0,1002.2,44.09765214,-0.950516903,0.013304741,1113.8,2.334713448,,0,0.02,1,1200,1.8,,0,-108.4
7 : AV-WZ,0,0.01,0.98,0.02,1,1500,47,467,16.41727893,-2.39999882,2.611418875,897.4,21.71119034,-0.455235448,15.49986119,1360,37.93275914,,0,0.02,1,1500,143.8,,0,-323.2
7 : AV-WZ,0,0.01,0.98,0.02,1,1800,47,611.8,11.65860229,-0.575653235,58.71663632,776.8,8.863966972,0.22733528,131.0377322,1388,202.0725774,,0,0.02,1,1800,1036,,0,424.2
7 : AV-WZ,0,0.01,0.98,0.02,1,2000,47,628.4,11.30456323,-0.516832778,69.86697348,760.4,8.599865401,0.123479022,149.2146996,1388,223.9746564,,0,0.02,1,2000,1246.2,,0,617.8
7 : AV-WZ,0,0.01,0.98,0.02,2,600,47,13.2,38.45792495,-0.030254552,0,541.4,49.03843577,-0.162590863,0,555,0.40753067,,0,0.02,2,600,0,,0,-13.2
7 : AV-WZ,0,0.01,0.98,0.02,2,800,47,27.4,36.59471931,-1.524725778,0,705.4,48.1174502,-0.161190844,0,733.2,0.626405659,,0,0.02,2,800,0.2,,0,-27.2
7 : AV-WZ,0,0.01,0.98,0.02,2,1000,47,48,36.08314062,-2.671946347,0,870.2,46.43706437,-0.162830817,0,918.6,1.093346352,,0,0.02,2,1000,0.8,,0,-47.2
7 : AV-WZ,0,0.01,0.98,0.02,2,1200,47,90,33.93604359,-3.722466717,0,1022.8,43.56533701,-0.308049746,0.002542649,1113.4,2.088550982,,0,0.02,2,1200,0.8,,0,-89.2
7 : AV-WZ,0,0.01,0.98,0.02,2,1500,47,359.4,20.06955699,-3.170551903,1.837021778,1012.6,26.04616741,-0.198346383,9.80843786,1369.2,29.39375553,,0,0.02,2,1500,86,,0,-273.4
7 : AV-WZ,0,0.01,0.98,0.02,2,1800,47,540.2,14.01631198,-0.898191518,49.27850229,870.2,11.17739544,0.349901077,109.9218712,1411.4,187.5105983,,0,0.02,2,1800,929.2,,0,389
7 : AV-WZ,0,0.01,0.98,0.02,2,2000,47,508.8,15.175805,-1.03121557,52.0508686,920.2,12.24941709,0.477597347,111.801904,1431.6,197.8701411,,0,0.02,2,2000,939.4,,0,430.6
