link_behav,MPR(0),MPR(1),Car(0),Car(1),dist_distr,volume,num_seed,VehsDC(1),SpeedDC(1),AccelerationDC(1),QueueDelayDC(1),VehsDC(2),SpeedDC(2),AccelerationDC(2),QueueDelayDC(2),VehsDelay(1),VehDelayDelay(1)
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,1,600,47,12.4,36.64169654876603,-1.5318401070349577,0.0,542.2,50.714904855268365,-1.2483420296459364,0.0,555.2,0.5609376020761254
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,1,800,47,23.6,36.685271658783485,-0.899572275606452,0.0,709.4,49.750159867550835,-1.005412040463942,0.0,733.2,0.6547170396818282
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,1,1000,47,39.6,36.445327489663875,-1.9852873441554948,0.0,878.6,48.47908085891869,-0.8764767102559855,0.0017542239143055632,918.6,0.8641507606161142
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,1,1200,47,72.4,35.030387180896774,-3.615899688177067,0.0,1040.0,46.04956717428669,-0.8363559676426717,0.0024682534894826377,1113.8,1.4523198641813824
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,1,1500,47,349.2,19.894867916211982,-2.9483858201399125,0.5301677614657733,1027.0,27.35042511936744,-0.39516889851530246,7.2686629355421575,1372.6,23.838683296144243
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,1,1800,47,445.6,16.448884666511884,-1.023051797626599,47.28820206959585,983.2,12.982255613216614,0.6503446277849534,104.31398365004301,1430.2,180.46509219236987
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,1,2000,47,457.2,16.014875705305478,-0.9527936644121698,57.99807158505244,972.8,12.68579067901631,0.6580111008501486,117.76276535688991,1428.8,201.85340757289205
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,2,600,47,10.2,37.34227118196644,-0.18396708228087172,0.0,544.4,48.95121732472907,-0.16690390935959948,0.0,555.0,0.4339255959212599
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,2,800,47,22.2,37.09113096453847,-0.38932400862533506,0.0,710.6,48.23995165635099,-0.1392042671344192,0.0,733.4,0.568666996681382
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,2,1000,47,39.4,35.89939875831035,-2.2338545829678873,0.0,878.8,46.68631760906752,-0.1444411180243483,0.0,918.8,0.9699267836574739
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,2,1200,47,63.0,35.12879423628127,-3.2193114773690894,0.0,1049.6,44.30795217866211,-0.2065650212637255,0.002095213520836021,1113.8,1.6076272612596938
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,2,1500,47,266.0,23.55564110860763,-3.8575902248561134,0.589489005011326,1112.6,29.786950470028064,-0.008303117801322563,4.704882538656513,1377.2,18.52476269774269
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,2,1800,47,346.2,18.587109025619164,-1.7047431749838922,39.79084144701306,1101.8,16.19604834843023,1.0113506542197643,82.39675742704034,1451.2,166.68668615411116
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,2,2000,47,339.6,19.071462922281224,-1.663692422762129,48.18884224743348,1112.8,16.123949723394173,0.9444216729626571,94.1987226817678,1454.2,186.0459061290519
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,3,600,47,8.6,36.67211404241478,-1.3290233274797465,0.0,546.0,48.87912765192618,-0.11152821997321054,0.0,555.0,0.4893084514729692
