Summary Group , Total, unclassified,crossing,rear end,lane change
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_003.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_007.trj,4,0,0,2,2
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_011.trj,4,0,0,2,2
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_012.trj,2,0,0,2,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_013.trj,3,0,0,3,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_015.trj,5,0,0,5,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_016.trj,8,0,0,7,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_017.trj,17,0,0,14,3
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_018.trj,10,0,0,8,2
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_019.trj,2,0,0,2,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_020.trj,8,0,0,7,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_021.trj,236,0,0,188,48
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_022.trj,337,0,0,259,78
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_023.trj,555,0,0,481,74
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_024.trj,271,0,1,217,53
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_025.trj,807,0,0,664,143
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_026.trj,3795,0,0,3531,264
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_027.trj,3890,0,0,3624,266
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_028.trj,4018,0,0,3743,275
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_029.trj,4405,0,0,4097,308
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_030.trj,3845,0,0,3581,264
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_031.trj,4532,0,0,4213,319
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_032.trj,4375,0,0,4074,301
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_033.trj,4690,0,0,4384,306
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_034.trj,4304,0,0,4009,295
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_035.trj,4229,0,0,3922,307
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_038.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_046.trj,3,0,0,2,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_047.trj,4,0,0,2,2
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_049.trj,2,0,0,2,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_050.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_051.trj,3,0,0,3,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_052.trj,19,0,0,17,2
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_053.trj,9,0,0,8,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_054.trj,7,0,0,6,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_055.trj,3,0,0,3,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_056.trj,155,0,0,134,21
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_057.trj,388,0,0,298,90
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_058.trj,518,0,0,414,104
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_059.trj,128,0,0,107,21
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_060.trj,368,0,0,304,64
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_061.trj,3218,0,0,2925,293
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_062.trj,3489,0,0,3183,306
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_063.trj,3358,0,1,3061,296
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_064.trj,3540,0,0,3239,301
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_065.trj,3459,0,0,3152,307
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_066.trj,3601,0,0,3300,301
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_067.trj,3772,0,0,3471,301
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_068.trj,3651,0,0,3322,329
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_069.trj,3898,0,0,3581,317
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_070.trj,3850,0,0,3498,352
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_081.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_083.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_084.trj,5,0,0,4,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_086.trj,5,0,0,4,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_087.trj,12,0,0,10,2
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_088.trj,6,0,0,4,2
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_089.trj,4,0,0,4,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_090.trj,16,0,0,14,2
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_091.trj,82,0,0,68,14
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_092.trj,240,0,0,192,48
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_093.trj,506,0,0,416,90
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_094.trj,229,0,0,201,28
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_095.trj,699,0,0,575,124
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_096.trj,3224,0,0,2896,328
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_097.trj,3349,0,0,3055,294
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_098.trj,2923,0,0,2629,294
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_099.trj,3101,0,0,2809,292
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_100.trj,3037,0,0,2747,290
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_101.trj,3580,0,0,3295,285
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_102.trj,3377,0,1,3131,245
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_103.trj,3181,0,0,2887,294
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_104.trj,3374,0,0,3122,252
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_105.trj,3374,0,0,3058,316
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_116.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_117.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_118.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_119.trj,3,0,0,3,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_120.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_121.trj,3,0,0,2,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_122.trj,3,0,0,2,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_123.trj,7,0,0,6,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_124.trj,4,0,0,4,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_125.trj,6,0,0,5,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_126.trj,89,0,0,80,9
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_127.trj,333,0,0,274,59
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_128.trj,296,0,0,247,49
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_129.trj,147,0,0,129,18
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_130.trj,399,0,0,334,65
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_131.trj,2988,0,0,2683,305
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_132.trj,3082,0,0,2780,302
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_133.trj,2657,0,0,2434,223
