link_behav,MPR(0),MPR(1),Car(0),Car(1),dist_distr,volume,num_seed,VehsDC(1),SpeedDC(1),AccelerationDC(1),QueueDelayDC(1),VehsDC(2),SpeedDC(2),AccelerationDC(2),QueueDelayDC(2),VehsDelay(1),VehDelayDelay(1)
7 : AV-WZ,0,0.01,0.98,0.02,1,600,43,3.0,37.34163036648047,-4.5737850400562285,0.0,80.0,50.66361604887674,-1.1181951871457616,0.0,82.0,0.5382811871661645
7 : AV-WZ,0,0.01,0.98,0.02,1,800,43,4.0,38.5436651065747,2.954522142463606,0.0,116.0,49.82935582756522,-0.7821752012096415,0.0,118.0,0.519366520518875
7 : AV-WZ,0,0.01,0.98,0.02,1,1000,43,6.0,37.43275881023102,-1.5595373370523231,0.0,149.0,49.026801058297146,-0.8582162671217607,0.0,154.0,0.604504158216071
7 : AV-WZ,0,0.01,0.98,0.02,1,1200,43,6.0,37.831984002461574,-2.8704055817682987,0.0,173.0,48.82956674133026,-0.8157275826721966,0.0,179.0,0.6340894920634775
7 : AV-WZ,0,0.01,0.98,0.02,1,1500,43,31.0,24.539623223647375,-4.9136939733788045,0.0,198.0,38.11925622228265,-0.9588245749275218,0.21969696969696947,228.0,5.526758311932937
7 : AV-WZ,0,0.01,0.98,0.02,1,1800,43,78.0,11.093511912245154,-1.1518088207513302,3.3512820512820443,167.0,27.679247587292505,-0.5242876568518067,4.8329341317365335,238.0,26.007098900381443
7 : AV-WZ,0,0.01,0.98,0.02,1,2000,43,97.0,11.127085334401958,-1.208056665400703,7.00515463917526,146.0,18.097242851572247,-0.7024361269841518,22.89520547945206,235.0,53.74048564073347
7 : AV-WZ,0,0.01,0.98,0.02,2,600,43,1.0,45.20062119550863,6.40553786971927,0.0,82.0,49.33646688560426,-0.16367960067110066,0.0,82.0,0.31307989453131435
7 : AV-WZ,0,0.01,0.98,0.02,2,800,43,6.0,35.96434041626738,-2.395580943747957,0.0,114.0,48.010952352381786,-0.0724774216047664,0.0,118.0,0.6243624094256425
7 : AV-WZ,0,0.01,0.98,0.02,2,1000,43,8.0,30.672421873406595,-7.124442914229745,0.0,147.0,45.96862664124195,-0.37005831370565034,0.0,154.0,1.356447212248178
7 : AV-WZ,0,0.01,0.98,0.02,2,1200,43,10.0,38.73148356487072,0.3183839614016345,0.0,169.0,47.50210167023763,-0.19753835627055605,0.0,179.0,0.7606059586107086
7 : AV-WZ,0,0.01,0.98,0.02,2,1500,43,35.0,25.46812404233251,-4.599860548474904,0.04571428571428572,192.0,33.28191377242278,-0.20666941814775405,0.14791666666666664,225.0,7.755890912701176
7 : AV-WZ,0,0.01,0.98,0.02,2,1800,43,96.0,12.283004107499224,-1.2734452264469427,3.2072916666666615,142.0,18.284249211290327,-0.3311915746772237,12.30492957746485,232.0,39.78483797657398
7 : AV-WZ,0,0.01,0.98,0.02,2,2000,43,88.0,16.280901493326937,-1.5538765449354508,0.7125000000000022,160.0,19.932336751421055,-0.2525674288573546,20.198125000000058,243.0,48.00573146488852
7 : AV-WZ,0,0.01,0.98,0.02,3,600,43,0.0,0.0,0.0,0.0,83.0,49.37230513476342,-0.09090547933541825,0.0,82.0,0.3412485168244246
