link_behav,MPR(0),MPR(1),Car(0),Car(1),dist_distr,volume,num_seed,VehsDC(1),SpeedDC(1),AccelerationDC(1),QueueDelayDC(1),VehsDC(2),SpeedDC(2),AccelerationDC(2),QueueDelayDC(2),VehsDelay(1),VehDelayDelay(1)
7 : AV-WZ,0,0.01,0.98,0.02,1,600,43,9.0,34.58809738114967,-5.294133170710575,0.0,542.0,50.15460923473199,-1.0858569484011595,0.0,552.0,0.5783803682795178
7 : AV-WZ,0,0.01,0.98,0.02,1,800,43,26.0,38.18179756494656,-1.348924432525626,0.0,705.0,49.47952994700461,-0.9191049790944522,0.0,730.0,0.6015110303765786
7 : AV-WZ,0,0.01,0.98,0.02,1,1000,43,46.0,36.40453458317606,-2.8294549317169255,0.0,853.0,47.535759891303435,-0.8941735476942525,0.0,900.0,1.0488067000132846
7 : AV-WZ,0,0.01,0.98,0.02,1,1200,43,90.0,33.10868717101953,-5.015807467749239,0.0,979.0,44.863988992588986,-0.9548924794879571,0.0019407558733401436,1072.0,1.8672041892481188
7 : AV-WZ,0,0.01,0.98,0.02,1,1500,43,399.0,16.88883191004725,-3.0706379798960537,0.5954887218045103,939.0,27.043066842211218,-0.7013337990554724,3.7039403620873386,1339.0,17.672120523243848
7 : AV-WZ,0,0.01,0.98,0.02,1,1800,43,607.0,11.25583067586818,-0.4439575548592839,52.526523887973454,773.0,8.91686820465394,0.1499976283481809,127.71112548511925,1382.0,197.27178914336108
7 : AV-WZ,0,0.01,0.98,0.02,1,2000,43,609.0,11.222026011098535,-0.47793071450792135,70.42775041050837,782.0,9.218665585032392,0.06438856320823677,143.22493606137712,1391.0,221.05507803790658
7 : AV-WZ,0,0.01,0.98,0.02,2,600,43,7.0,40.07300758228094,1.2401706029839672,0.0,544.0,48.915829810424334,-0.16122543257617433,0.0,551.0,0.409243608472218
7 : AV-WZ,0,0.01,0.98,0.02,2,800,43,26.0,36.444469302830896,-1.6166975469634701,0.0,704.0,48.278940965272014,-0.12994888452951886,0.0,730.0,0.5381554438555554
7 : AV-WZ,0,0.01,0.98,0.02,2,1000,43,49.0,35.29767293835247,-3.453541106380212,0.0,850.0,46.293501640866644,-0.15078383257015832,0.0,900.0,1.0509120447045446
7 : AV-WZ,0,0.01,0.98,0.02,2,1200,43,78.0,34.31596026949917,-4.249805599880015,0.0,992.0,43.96226610744443,-0.3507157088764023,0.0,1072.0,1.8172012722949777
7 : AV-WZ,0,0.01,0.98,0.02,2,1500,43,349.0,19.25820791069702,-3.4371132551741277,0.20687679083094523,989.0,27.75925024363258,-0.35955540031307825,4.034378159757351,1335.0,17.434226451912075
7 : AV-WZ,0,0.01,0.98,0.02,2,1800,43,579.0,12.155595386554115,-0.62475961785533,54.66131260794426,809.0,10.231515260969452,0.39782051590528417,119.93621755253075,1390.0,196.32916395643412
7 : AV-WZ,0,0.01,0.98,0.02,2,2000,43,506.0,15.252924763224216,-1.048158393957473,52.125889328062826,928.0,12.249801400879486,0.5202976736646848,107.53857758620455,1435.0,192.94518800574994
7 : AV-WZ,0,0.01,0.98,0.02,3,600,43,7.0,36.866377132199865,-3.0965599322163677,0.0,544.0,48.86009740815661,-0.11512678141468298,0.0,551.0,0.4761893964080484
7 : AV-WZ,0,0.01,0.98,0.02,3,800,43,22.0,38.10243977821661,0.37289441373578847,0.0,708.0,48.43544560222261,-0.0964984556863263,0.0,730.0,0.5604570169743939
7 : AV-WZ,0,0.01,0.98,0.02,3,1000,43,38.0,37.70988981793707,-1.7969915470511284,0.0,861.0,46.8252104491596,-0.1253596791439128,0.0,900.0,0.9351954740602529
7 : AV-WZ,0,0.01,0.98,0.02,3,1200,43,69.0,33.99236969668236,-4.507252641582514,0.0,1000.0,43.5068686568724,-0.2553430388218492,0.0,1072.0,2.001834690551779
7 : AV-WZ,0,0.01,0.98,0.02,3,1500,43,297.0,22.077970038755048,-3.948313691844344,0.08316498316498315,1039.0,30.034645401933872,-0.44729144563123446,1.5230991337824826,1333.0,13.748077485649594
7 : AV-WZ,0,0.01,0.98,0.02,3,1800,43,433.0,17.71330587763449,-1.473882098048334,37.680600461893405,1015.0,14.896565525806112,0.7023019324240889,79.20078817733848,1446.0,162.0967508276602
7 : AV-WZ,0,0.01,0.98,0.02,3,2000,43,426.0,17.598001841002763,-1.4218374393681241,41.457981220656904,1024.0,14.649053771242773,0.5833630554365365,89.4586914062482,1449.0,177.7163441938923
